"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.21,0.17,-0.13,0.54
"ami_dummyAmi",-0.1,0.3,-0.69,0.49
"serum_ami_high",-0.02,0.35,-0.73,0.65
"nal_dummyNal",-0.53,0.24,-1,-0.06
